N,q,procs,time,error,hardware
256,1,1,0.9578796999994665,1.5056135e-07,CPU multiprocessing
256,1,2,1.0021680000354536,1.5056135e-07,CPU multiprocessing
256,1,4,0.8858741000294685,1.5056135e-07,CPU multiprocessing
256,1,8,0.8790682000108063,1.5056135e-07,CPU multiprocessing
256,2,1,0.9284307999769226,0.0427778,CPU multiprocessing
256,2,2,1.0134580999729224,0.0427778,CPU multiprocessing
256,2,4,0.9816644999664277,0.0427778,CPU multiprocessing
256,2,8,1.081292900023982,0.0427778,CPU multiprocessing
256,4,1,0.9563028000411578,0.045355,CPU multiprocessing
256,4,2,1.0009875999530777,0.045355,CPU multiprocessing
256,4,4,1.3300421999883838,0.045355,CPU multiprocessing
256,4,8,1.361318500014022,0.045355,CPU multiprocessing
512,1,1,0.946044999989681,6.578721e-08,CPU multiprocessing
512,1,2,0.8877624000306241,6.578721e-08,CPU multiprocessing
512,1,4,0.8720211000181735,6.578721e-08,CPU multiprocessing
512,1,8,0.9386655000271276,6.578721e-08,CPU multiprocessing
512,2,1,0.917847000004258,0.030693278,CPU multiprocessing
512,2,2,1.0742199000087567,0.030693278,CPU multiprocessing
512,2,4,1.006522200012114,0.030693278,CPU multiprocessing
512,2,8,1.2156181000173092,0.030693278,CPU multiprocessing
512,4,1,0.9429621000308543,0.03082287,CPU multiprocessing
512,4,2,1.0624654000275768,0.03082287,CPU multiprocessing
512,4,4,1.322904699947685,0.03082287,CPU multiprocessing
512,4,8,1.3474287999561056,0.03082287,CPU multiprocessing
1024,1,1,0.9099522999604233,5.639617e-08,CPU multiprocessing
1024,1,2,0.9366241000243463,5.639617e-08,CPU multiprocessing
1024,1,4,0.9799400000483729,5.639617e-08,CPU multiprocessing
1024,1,8,0.9101941999979317,5.639617e-08,CPU multiprocessing
1024,2,1,1.0051721999770962,0.02065151,CPU multiprocessing
1024,2,2,1.078869599965401,0.02065151,CPU multiprocessing
1024,2,4,1.1090413000201806,0.02065151,CPU multiprocessing
1024,2,8,1.1226619000080973,0.02065151,CPU multiprocessing
1024,4,1,1.0560606000362895,0.022450961,CPU multiprocessing
1024,4,2,1.127539999957662,0.022450961,CPU multiprocessing
1024,4,4,1.4827931000036187,0.022450961,CPU multiprocessing
1024,4,8,1.465812599984929,0.022450961,CPU multiprocessing
